iter	RMSE
0	108167.5462
1	102258.2159
2	96693.28571
3	92139.34574
4	88042.15708
5	84326.52352
6	81058.09275
7	78248.47311
8	75667.71007
9	73563.57634
10	71672.19585
11	69752.91598
12	68025.84602
13	66655.42792
14	65404.59521
15	64194.68484
16	63122.9057
17	62095.17078
18	61308.09778
19	60503.02125
20	59806.91356
21	58987.57364
22	58412.36481
23	57870.11362
24	57477.24818
25	57009.58195
26	56585.12197
27	55966.96023
28	55572.52248
29	55191.85819
30	54634.00196
31	54250.54344
32	53958.76501
33	53707.812
34	53449.3826
35	53183.95572
36	52953.60625
37	52656.33346
38	52327.85122
39	52067.04378
40	51838.67046
41	51544.82753
42	51241.30481
43	51039.24021
44	50860.95161
45	50623.01375
46	50454.74093
47	50257.80985
48	49979.49569
49	49734.59907
50	49560.11296
51	49430.27015
52	49226.50313
53	49043.62402
54	48871.76971
55	48748.84246
56	48654.3046
57	48467.74034
58	48389.78805
59	48279.26991
60	48183.57517
61	47992.2746
62	47867.88251
63	47742.3672
64	47638.14457
65	47519.55492
66	47360.4523
67	47173.55049
68	47031.4201
69	46898.90262
70	46813.2829
71	46685.79107
72	46590.51583
73	46494.70033
74	46417.01573
75	46349.51595
76	46262.82259
77	46166.58974
78	46099.73971
79	45952.55316
80	45783.23106
81	45711.58267
82	45590.75846
83	45536.17857
84	45429.1478
85	45346.05406
86	45251.88863
87	45153.15014
88	44999.85793
89	44893.66422
90	44809.51066
91	44740.43211
92	44645.60336
93	44566.08079
94	44476.61492
95	44415.32313
96	44343.94643
97	44268.9804
98	44181.55181
99	44097.61387
