iter	Passed	Remaining
0	18	1796
1	37	1825
2	55	1802
3	74	1789
4	92	1761
5	111	1743
6	129	1716
7	147	1696
8	165	1677
9	184	1657
10	202	1640
11	221	1623
12	239	1603
13	258	1586
14	277	1569
15	294	1548
16	313	1529
17	331	1509
18	350	1492
19	368	1474
20	386	1454
21	404	1435
22	423	1418
23	442	1402
24	460	1381
25	480	1366
26	498	1348
27	517	1331
28	536	1313
29	554	1294
30	572	1273
31	590	1254
32	608	1236
33	626	1217
34	644	1197
35	662	1178
36	680	1158
37	698	1139
38	716	1120
39	733	1100
40	751	1081
41	769	1062
42	787	1044
43	804	1024
44	822	1005
45	840	986
46	857	967
47	876	949
48	894	931
49	913	913
50	932	895
51	950	877
52	968	858
53	985	839
54	1003	821
55	1022	803
56	1039	784
57	1058	766
58	1076	748
59	1095	730
60	1113	711
61	1132	693
62	1149	675
63	1168	657
64	1186	638
65	1204	620
66	1222	602
67	1240	583
68	1259	565
69	1277	547
70	1294	528
71	1312	510
72	1330	491
73	1348	473
74	1367	455
75	1384	437
76	1402	418
77	1420	400
78	1439	382
79	1458	364
80	1476	346
81	1494	328
82	1513	309
83	1532	291
84	1550	273
85	1568	255
86	1585	236
87	1603	218
88	1622	200
89	1639	182
90	1657	163
91	1676	145
92	1694	127
93	1712	109
94	1730	91
95	1748	72
96	1767	54
97	1785	36
98	1803	18
99	1820	0
